内部 ID,ID,店铺,14K货号,是否同步平台库存,成员货品,成员货品数量,美国生命周期状态,德国生命周期状态,日本生命周期状态,英国生命周期状态,类型,代运营,非活动,leadtime
2714,2714,US-Walmart,CHDS0026-BEIGE,是,CHDS0026-BEIGE,1,下市期,,,,库存货品,自营,是,
2721,2721,US-Walmart,CHDS0026-GREEN,是,CHDS0026-GREEN,1,下市期,,,,库存货品,自营,是,
2728,2728,US-Walmart,CHDS0026-GREY,是,CHDS0026-GREY,1,下市期,,,,库存货品,自营,是,
2735,2735,US-Walmart,CHDS0026-MUSTARD,是,CHDS0026-MUSTARD,1,下市期,,,,库存货品,自营,是,
2742,2742,US-Walmart,CHDS0026-NAVY,是,CHDS0026-NAVY,1,下市期,,,,库存货品,自营,是,
2749,2749,US-Walmart,CHDS0026-PINK,否,CHDS0026-PINK,1,下市期,,,,库存货品,自营,是,
2755,2755,US-Walmart,CHDS0026-SAGE,否,CHDS0026-SAGE,1,下市期,,,,库存货品,自营,是,
2762,2762,US-Walmart,CHDS0026-SILVER,否,CHDS0026-SILVER,1,下市期,,,,库存货品,自营,是,
2768,2768,US-Walmart,CHDS0035-MUSTARD,是,CHDS0035-MUSTARD,1,淘汰期,,,,库存货品,自营,是,
2773,2773,US-Walmart,CHDS0035-NAVY,是,CHDS0035-NAVY,1,淘汰期,,,,库存货品,自营,是,
2778,2778,US-Walmart,CHDS0035-PINK,是,CHDS0035-PINK,1,淘汰期,,,,库存货品,自营,是,
2783,2783,US-Walmart,CHDS0035-SILVER,是,CHDS0035-SILVER,1,淘汰期,,,,库存货品,自营,是,
2788,2788,US-Walmart,CHDS0036-MUSTARD,否,CHDS0036-MUSTARD,1,淘汰期,,,,库存货品,自营,是,
2793,2793,US-Walmart,CHDS0036-NAVY,否,CHDS0036-NAVY,1,淘汰期,,,,库存货品,自营,是,
2798,2798,US-Walmart,CHDS0036-PINK,否,CHDS0036-PINK,1,下市期,,,,库存货品,自营,是,
2803,2803,US-Walmart,CHDS0036-SILVER,否,CHDS0036-SILVER,1,淘汰期,,,,库存货品,自营,是,
2808,2808,US-Walmart,CHDS0037-CHARCOL,否,CHDS0037-CHARCOL,1,淘汰期,,,,库存货品,自营,是,
2813,2813,US-Walmart,CHDS0037-FUSHIA,否,CHDS0037-FUSHIA,1,淘汰期,,,,库存货品,自营,是,
2818,2818,US-Walmart,CHDS0037-GREEN,否,CHDS0037-GREEN,1,下市期,,,,库存货品,自营,是,
