SKU,Item ID,Product Name,Lifecycle Status,Publish Status,Status Change Reason,Product Category,Product Type,Price,Currency,Price Type,Promo Start Date,Promo End Date,Comparison Price,Comparison Price Type,Buy Box Item Price,Buy Box Shipping Price,Buy Box Eligible,MSRP,Product Tax Code,Ship Methods,Shipping Weight,Shipping Weight Unit,Fulfillment Lag Time,Fulfillment Type,WFS Sales Restriction,WPID,GTIN,UPC,Item Page URL,Primary Image URL,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Searchable?,Variant Group Id,Primary Variant?,Variant Grouping Attributes,Variant Grouping Values,Competitor URL,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Repricer Strategy,Minimum Seller Allowed Price,Maximum Seller Allowed Price,Repricer Status,Product Condition,Lagtime Category
ACCS1276D-BLK,15768571202,4-drawer Sideboard with Charging Station Built-in Divider Tray End Table for Apartment Black,RETIRED,UNPUBLISHED,Offer end date has passed,Home & Garden,End Tables,399.9,USD,Base,"","","","","","",Yes,"",2038710,"",123.48,"""LB""","",Seller Fulfilled,"",3W0J2462NW7P,00197104829894,197104829894,http://www.walmart.com/ip/4-drawer-Sideboard-with-Charging-Station-Built-in-Divider-Tray-Nightstand-for-Apartment-Black/15768571202,https://i5.walmartimages.com/asr/dceda285-87d6-4ab5-a8ae-4337d693681b.67d67f6b9225781dc0bdcb8e6b778997.jpeg,Wood End Tables,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""End Tables"",""Wood End Tables""]",Tina's Home,03/26/2025,01/12/2026,03/26/2025,07/22/2026,0,"",Y,ACCS1276D,N,"actual_color,multipack_quantity","black,1","","","","","","","","",New,Furniture
BC-00003,392891353,14 Karat Home Silver Ornament Wine Gift Bag Wine Bottle Cover for Christmas Holiday Party,ARCHIVED,UNPUBLISHED,Offer end date has passed,Crafts,Gift Bags,9.99,USD,Base,11/26/2020,12/03/2020,"",,"","",Yes,"",2038710,"",1.0,"""LB""",1,Seller Fulfilled,"",5U0WB0BZZMX2,00192242385486,192242385486,http://www.walmart.com/ip/14-Karat-Home-Silver-Ornament-Wine-Gift-Bag-Wine-Bottle-Cover-for-Christmas-Holiday-Party/392891353,https://i5.walmartimages.com/asr/359ed75e-3920-41c6-a3f8-447f1e7c3dce.f3487119365a92a4c5f1b2976d35f99c.jpeg,Christmas Gift Bags,"[""Home Page"",""Party & Occasions"",""Party Supplies"",""Christmas Party Supplies"",""Christmas Gift Wrap"",""Christmas Gift Bags""]",14 Karat Home,02/08/2023,12/19/2023,09/22/2020,03/19/2026,0,"",Y,BC-00003-00004-KH,Y,"actual_color,number_of_pieces","Red,1","","","","","","","","",New,Decorations & Favors
BCYJ0741-PEB,1902609679,"14 Karat Home Book Shelf Solid Wood Ladder Bookcase wall decor storage shelves,Pebble",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bookcases,481.65,USD,Base,"","","",,"","",Yes,"",2038710,"",127.01,"""LB""",1,Seller Fulfilled,"",0V9R986KHKE8,00197104162403,197104162403,http://www.walmart.com/ip/14-Karat-Home-Book-Shelf-Solid-Wood-Ladder-Bookcase-wall-decor-storage-shelves-Pebble/1902609679,https://i5.walmartimages.com/asr/5e851365-ae08-47e0-b5e5-f5662b510384.ccd5c95c64db8ee5a9830bd8c37bbf07.jpeg,Bookshelves,"[""Home Page"",""Home"",""Furniture"",""Office Furniture"",""Bookshelves""]",14 Karat Home,03/23/2023,09/23/2023,03/23/2023,07/24/2026,0,"",Y,BCYJ0741,N,actual_color,PEBBLE,"","","","","","","","",New,Furniture
BDJH0874-QB-CRL,5287863371,"Metal Platform Bed Frame Queen Size with Removable Bed Covers, Machine Washable Slipcover for Headboard Footboard Bed Skirt Coral",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Beds,229.98,USD,Base,"","","",,"","",Yes,330.0,2038710,"",62.0,"""LB""",1,Seller Fulfilled,"",45EN599VDCHU,00197104631879,197104631879,http://www.walmart.com/ip/Metal-Platform-Bed-Frame-Queen-Size-with-Removable-Bed-Covers-Machine-Washable-Slipcover-for-Headboard-Footboard-Bed-Skirt-Coral/5287863371,https://i5.walmartimages.com/asr/220aa14b-8a27-4296-93ae-b0d11e60f04c.699921d2554c53002733ca9b0de954d6.jpeg,Metal Beds,"[""Home Page"",""Home"",""Furniture"",""Bedroom Furniture"",""Beds"",""Metal Beds""]",Tina's Home,12/18/2023,04/18/2024,12/18/2023,08/06/2026,0,"",Y,BDJH0874,N,"actual_color,character,size","CORAL,Solid Color,Queen","","","","","","","","",New,Furniture
BDJH0874-TB-NAV,5225892098,"Metal Platform Bed Frame Twin Size with Removable Bed Covers, Machine Washable Slipcover for Headboard Footboard Bed Skirt Navy",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Beds,198.99,USD,Base,"","","",,"","",Yes,259.0,2038710,"",43.77,"""LB""",1,Seller Fulfilled,"",3FXNR4X5X4U6,00197104616289,197104616289,http://www.walmart.com/ip/Metal-Platform-Bed-Frame-Twin-Size-with-Removable-Bed-Covers-Machine-Washable-Slipcover-for-Headboard-Footboard-Bed-Skirt-Navy/5225892098,https://i5.walmartimages.com/asr/aa0c663e-ff54-49a0-af12-1206bfeb6036.1b2766d21869a44f6f14a0afc638ce01.jpeg,Metal Beds,"[""Home Page"",""Home"",""Furniture"",""Bedroom Furniture"",""Beds"",""Metal Beds""]",Tina's Home,12/18/2023,04/18/2024,12/18/2023,07/24/2026,0,"",Y,BDJH0874,N,"actual_color,character,size","NAVY,Solid Color,Twin","","","","","","","","",New,Furniture
BDJH0875-QB-BLK,5283355269,Platform Bed Frame Queen Size Modern Industrial Metal Frame Bed Openwork Headboard Footboard Noise Free Black,ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Beds,245.99,USD,Base,"","","",,"","",Yes,"",2038710,"",62.62,"""LB""",1,Seller Fulfilled,"",3FNNBGJENZGW,00197104546784,197104546784,http://www.walmart.com/ip/Platform-Bed-Frame-Queen-Size-Modern-Industrial-Metal-Frame-Bed-Openwork-Headboard-Footboard-Noise-Free-Black/5283355269,https://i5.walmartimages.com/asr/65a2eca6-b0cf-4b43-9e70-98956389bc0d.275e5a7e5b2036d890749ef3f0ca8283.jpeg,Queen Beds,"[""Home Page"",""Home"",""Furniture"",""Bedroom Furniture"",""Beds"",""Queen Beds""]",14 Karat Home,12/16/2023,08/30/2024,12/16/2023,07/22/2026,0,"",Y,BDJH0875,Y,"actual_color,character","Black,Queen","","","","","","","","",New,Beds
BDJH0885-QB-IVY,5289756821,"Metal Platform Bed Frame with Removable Bed Covers, Wingback Bottom Storage Machine Washable Queen Size Ivory",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Beds,439.9,USD,Base,"","","",,"","",Yes,469.0,2038710,"",79.3,"""LB""",1,Seller Fulfilled,"",3V7E2LJSYK9D,00197104617507,197104617507,http://www.walmart.com/ip/Metal-Platform-Bed-Frame-with-Removable-Bed-Covers-Wingback-Bottom-Storage-Machine-Washable-Queen-Size-Ivory/5289756821,https://i5.walmartimages.com/asr/7081422d-26cf-480d-9d6b-ca03063c219e.2055aa786a06b14e18464dd7c20d119f.jpeg,Metal Beds,"[""Home Page"",""Home"",""Furniture"",""Bedroom Furniture"",""Beds"",""Metal Beds""]",Tina's Home,12/19/2023,04/18/2024,12/19/2023,07/23/2026,0,"",Y,BDJH0885,N,"actual_color,character,size","IVORY,Solid Color,Queen","","","","","","","","",New,Furniture
BDQX1109-QB-IVY-AB,20103762042,"Tina's Home Modern 4-in-1 Convertible Upholstered Queen Size Bed with Overbed Table & Bench Function, No Box Spring Needed, Ivory",ACTIVE,PUBLISHED,"",Home & Garden,Bed Frames,779.99,USD,Base,"","",779.99,"",779.99,0.0,Yes,"",2038710,NETWORK_GEO,208.0,"""LB""",2,Seller Fulfilled,"",4P63BS8X967P,00197104604941,197104604941,http://www.walmart.com/ip/Tina-s-Home-Modern-4-in-1-Convertible-Upholstered-Queen-Size-Bed-with-Overbed-Table-Bench-Function-No-Box-Spring-Needed-Ivory/20103762042,https://i5.walmartimages.com/asr/7924c27a-91a5-4707-8611-e7d97c70120c.ecf8e549cf171e75ba8688a2cb36dee2.jpeg,Queen Bed Frames,"[""Home Page"",""Home"",""Furniture"",""Bedroom Furniture"",""Bed Frames"",""Queen Bed Frames""]",Tina's Home,04/27/2026,12/16/2030,04/28/2026,08/21/2026,0,"",Y,BDQX1109,Y,actual_color,Ivory,"","","","","","","","",New,Furniture
BEHM0778-WAL,1758716642,14 Karat Home Midcentury Modern Storage Tufted Bench for Bedroom End of Bed WALNUT,ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Benches,517.9,USD,Base,"","","",,"","",Yes,899.0,2038710,"",76.95,"""LB""",1,Seller Fulfilled,"",0VAHGSVWA4NY,00197104253699,197104253699,http://www.walmart.com/ip/14-Karat-Home-Midcentury-Modern-Storage-Tufted-Bench-for-Bedroom-End-of-Bed-WALNUT/1758716642,https://i5.walmartimages.com/asr/f71f39ea-7757-4228-b98b-711493d29c4a.a9621dacb6282529d207d40357067063.jpeg,Benches,"[""Home Page"",""Home"",""Furniture"",""Benches""]",Tina's Home,07/19/2023,09/25/2023,07/19/2023,07/23/2026,0,"",Y,BEHM0778,Y,actual_color,WALNUT,"","","","","","","","",New,Furniture
BEM0546-BLACK,1416345006,"Tina's Home Velvet Storage Ottoman Bench 45.5"" Gold Leg Upholstered Nailhead Trim Button Tufted Bed Foot Stool Home Entryway Black",ACTIVE,PUBLISHED,"",Home & Garden,Ottomans,166.95,USD,Base,"","",166.95,"",166.95,0.0,Yes,"",2038710,NETWORK_GEO,31.1,"""LB""",2,WFS Eligible,"",2JOPHJ3DEL5V,00768657721722,768657721722,http://www.walmart.com/ip/Velvet-Storage-Ottoman-Bench-45-5-Gold-Leg-Upholstered-Nailhead-Trim-Button-Tufted-Bed-Foot-Stool-Home-Entryway-Black/1416345006,https://i5.walmartimages.com/asr/a2be1b59-3741-4e43-944e-436bef834f11.f52112ef341fb43eef7b4264b7ca70c3.jpeg,Storage Ottomans,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Ottomans"",""Storage Ottomans""]",Tina's Home,02/03/2026,02/03/2030,07/28/2022,08/18/2026,0,"",Y,BEM0546,N,actual_color,Black,https://www.amazon.com/dp/B0C3LSWBNB?psc=1&th=1&vs=1,179.99,0.0,08/26/2026,"","","","",New,Furniture
